title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Já Chegamos Trimix,rap,CFK,2016,253,{},"[Letra de “ Já Chegamos (Trimix)]

[Verso 1 - CFKAPPA]
Assim como Angola, precisa do PR para governar
O Juíz do Martelo para condenar
O petróleo e o diamante para continuar
O game precisa de mim, boy, eu fiz história
Sinceramente eu já não curto o rap
Eu estou mais sério man, agora estou a namorar com o rap
E faço isso em alta definição
Porque eu sou blu-ray e vocês cds piratas em segunda mão
E não é por mal brother
Mas só juntando as letras todas do teu álbum é que tu vais ter 100 barras
E eu não sou agitador
Mas é que o meu disco é a melhor invenção jamais feita depois do computador

[Refrão]
Já chegamos boy, demoramos mas chegamos boy
Nós soms Cérebro Records boy
Já Chegamos boy, demoramos mas chegamos boy
Fomos feitos pa esse rap, boy
Já chegamos boy, demoramos mas chegamos boy
Nós soms Cérebro Records boy
Já Chegamos boy, demoramos mas chegamos boy
Fomos feitos pa esse rap, boy

[Verso 2 - CFKAPPA]
Já chegamos boy! Desculpem o atraso na aterragem
Mas ando com tanto flow que deu excesso de bagagem
E a imigração me complicou por eu ser kid
Mas esse beat foi a minha carta de chamada para Moçambique
Mic está ligado, puxo a concentração
Nessa estrada há buracos, passo com ou sem tracção
Evita atritos porque tu não tens hipóteses
Existe quase tudo mas pra boca não há próteses
Tu não me curtes porque eu ponho a pensar
E isso nunca foi teu forte, foste feito pra invejar, homie
Casei com o rap, estou comprometido
E não esqueço o meu amor tal como prometido
Essa é uma aula, alunos vão ser leccionados
Boas rimas são cuspidas, bons flows seleccionados
E eu tou com a cérebro do lado
Vê se aceita a tua condição, ser fraco não é pecado

[Refrão]
Já chegamos boy, demoramos mas chegamos boy
Nós soms Cérebro Records boy
Já Chegamos boy, demoramos mas chegamos boy
Fomos feitos pa esse rap, boy
Já chegamos boy, demoramos mas chegamos boy
Nós soms Cérebro Records boy
Já Chegamos boy, demoramos mas chegamos boy
Fomos feitos pa esse rap, boy

[Verso 3 - CFKAPPA]
Disseram que as 100 barras acabaram o meu stock de rimas
Mas dei um stop pra os niggas engolirem as vitaminas
Mas querem ver-me morto, agora fazem apostas
Mas sempre fui desorganizado, nunca arrumo as botas
Nunca fui daltónico, eu vejo as cores todas
Eu amo a cor azul e vocês só amam a rocha
E eu tenho letras tão lindas
Que quem vê pensa que eu fiz um curso de caligrafia
Meu rap está num nível onde o teu não vai chegar
E tu não és comida para eu ter que te provar
Ya, e quanto aos beefs que mandas
Eu não respondo porque você nunca me pergunta nada
Quando o assunto é rap com poesia e intelecto
Vai à minha label porque lá não tem excepto
E eu já nem tenho hatters
Tenho é admiradores que demonstram o seu amor de outra maneira",3309,pt,pt,pt
Vasilhame,rap,Criolo,2016,6866,{},"[Refrão]
Eu ouvi falar que os cara quer chapar, se pá
Beber até rinchar, aaah, será triste o fim
Álcool destrói o fígado e o rim
Eu ouvi falar que os cara quer chapar, se pá
Beber até rinchar, aaah, será triste o fim
Álcool destrói o fígado e o rim

[Verso 1]
Muito mais pra mim, várias famílias
Quero ver a mãe tranquila sabendo que o filho frita
Um inocente goró, depois um doce, uma balinha
O perréco atiçando com as mina de sainha
Amanhece tubarão e vai dormir sardinha
Tira sarro dos irmão que só colam com tubaína
Cheio das graça com um copo de caipirinha
Saber quem é mais macho no jogo do vira-vira
Disse pra mim que desce macio e reanima
Depois é só o rastro do (blááá) lá na vila
Digo sim, já me acabei no Corotim
Mas eu nunca mais quero essa vida pra mim
Eu ouvi falar que os maluco quer entornar
Enxugar o caneco pra depois: uh uh (aah)
O universo tá ali (aah), alguém vai se iludir
Porque eu
[Refrão]
Eu ouvi falar que os cara quer chapar, se pá
Beber até rinchar, aaah, será triste o fim
Álcool destrói o fígado e o rim
Eu ouvi falar que os cara quer chapar, se pá
Beber até rinchar, aaah, será triste o fim
Álcool destrói o fígado e o rim

[Verso 2]
Você quer brisa? Vai escutar poesia
Toda quarta-feira ainda tem Cooperifa
Você zumbizão era o cara lá que bebe
Todo podrão não sei como é que véve
Perdeu o que? Reclama com a Ambev
Ela é grande, mas os MC's daqui não são vasilhame
Fala pra mim, qual das três é mais vendida
Cerveja, maconha ou cocaína?
Fala mim quem recebe um pano dos pelego:
Bebedor, cheirador ou maconheiro?
Ai depende, se é pobre ou se é rico
Porque dinheiro é dinheiro e o poder tá corrompido
Criolo Doido vai abrir uma cachaçaria
Coisa fina, naipe clandestina
Sou do Grajaú, jão, e lóki ali não nasce
O dinheiro da cachaça vai pra comunidade
Alcoolismo é doença, mas a safadeza, filho
Da galera que apóia, você não acha esquisito?
O governo libera porque lucra com isso
E a gente toma cachaça até no aniversário de cristo
E eu ouvi falar que umas mina quer entornar
Enxugar o caneco pra depois (snif snif, aah)
Os maluco tão ali, ó, aah, eles não vão perdoar
[Refrão]
Eu ouvi falar que os cara quer chapar, se pá
Beber até rinchar, aaah, será triste o fim
Álcool destrói o fígado e o rim
E eu ouvi falar que os cara quer chapar, se pá
Beber até rinchar, aaah, será triste o fim
Álcool destrói o fígado e o rim",60051,pt,pt,pt
Chuva Ácida,rap,Criolo,2016,5479,{},"[Verso 1]
Peixes mutantes invadindo o congresso
Vomitando poluentes com o logotipo impresso
""B"" e ""R"", quem é do mangue não esquece
As vítimas perecem, as famílias enlouquecem
O caranguejo gigante decepando seus corpos
Aniquilar suas famílias, jogá-las aos corvos
Garças bizarras movidas a óleo, sem dó e sem dor
Bicando seus olhos, sobrevoando em campos
Uma seleção de mortos, pensamentos mórbidos(não)
Realidade, carne e ossos
Enquanto ser humano, eu vou destruindo o que posso
O elevador aqui só desce, o demônio é meu sócio
Abriram, uh, a caixa de Pandora
Simon diz: saiam agora
A chuva espalhando, todos os mares
Ai ai, uiui(uiuiuiui), ai como isso arde
É bateria de celulares, césio, similares
A peste invisível maculando os ares
Mercúrio nos rios, diesel nos mares, o solo estéril, é já fizeram sua parte(uh)
Ó, e salvem o planeta, papelzinho de bala no chão, tio, é muita treta
O sádico monstro está à frente
Sai do círculo vicioso e recicle a sua mente (vamo estudar, pô)
Minha rima é voraz, árdua e quente, o crioulo aqui é doido e os planos são dementes
E o futuro é num piscar de olhos, cê ta sabendo? (olha ali ó)
Fulano ali ta derretendo
[Refrão] (x2)
Eles ficam assim, olhando pra mim
Terceiro setor, vem que tem dindim
Vendem a ideia de que são legais
Nadar de costas, vai, jacaré abraça

[Verso 2]
Num universo de horrores, tuberculose, câncer, tumores
Chagas que a prata não repara
Vidas cujo o respeito não viram nada
O homem sendo a imagem da besta
Crack é fichinha, estão destruindo o planeta
Em breve nascerão vacas sem tetas
Nos cafezais, milharais, a praga dominando a colheita
A água que é pouca sumirá totalmente
Suas sacolas de dinheiro não comprarão seu copo de aguardente
Porque destruiram a cana, que adoça os doces, que adoça o amargo da vida
Olhar em volta e ver tanta burrice reunida
Vamos parar com isso, aprender sobre a coleta seletiva de lixo
Arqueólogos, geólogos, antropólogos, ah, façam parte dos nossos
Respeito e instrução ao povo para dizerem: ""Sim eu posso, sim eu posso, sim eu posso""
Senhores do orgulho, arbutres comerão suas tripas no entulho
As nuvens vão se formando, as gotas deteriorando, são as pernas quentes da morte aos poucos, aos poucos, aos poucos nos carregando

[Refrão] (x4)
Eles ficam assim, olhando pra mim
Terceiro setor, vem que tem dindim
Vendem a idéia de que são legais
Nadar de costas, vai, jacaré abraça
Nadar de costas, vai, jacaré abraça",60711,pt,pt,pt
País da Fome 2 Homens Animais,rap,Sabotage,2016,8531,"{""DJ Cia""}","[Letra da primeira versão]

[Intro: Rita Lisauskas]
O rapper Sabotage foi assassinado em São Paulo
O músico de 29 anos (homens animais) levou 4 tiros nesta sexta-feira em um crime ainda sem explicação
Ele foi socorrido, mas não...

[Verso 1: Sabotage]
Não só o Louquinho e o Pesquila jaz
Senhor, a dor dos seus herdou, ao menos peço a paz
O pobre réu agora é fel, perante os animais
E que a bela vira fera, e mais
Jão, até me lembro do passado
Vários malucos lá em casa, o clima andava embaçado
Só ladrão de mil grau, o clima era do mau
Esquenta o prato, estica, serve o crime na moral e tal
Mó motivo pra chamar do 12
É, se os homens invadissem, iam catar um monte
É, ladrão, teve uns malucos que assinou e foi de bonde
Uns do Canão, uns do Bronx, uns da Conde
Louquinho, meu melhor amigo até hoje
Aderiu ao 157, não quis pra ele o 12
É, não precisou ter currículo de ladrão
Tipo, pra ter respeito ou admiração
Igual muitos por aqui, o Louquinho pensou alto
Vendeu umas frutas, tomou conta de carro
Aos 12, rá-tá-tá; aos 15, quis parar
Aos 16, dizia que a branca pro crime, só atrasa
Deu duro e forte
Pro arrebento nunca foi com loc
Nobres, falava a seu respeito, pela ordem
Nas noites frias na fogueira, assalto era meu tema
Pra quem nasceu na zona sul, o sofrimento é evidência
Aqui não tem paz, aqui não tem sinceridade
Não tem nenhum filha da puta sem maldade
Necessidade; na Espraiada, o crime em sua porta
Também polícia e revólver, droga, caminho da roça
É óbvio que aqui as estatísticas me diz:
Na miguelagem ou então já sabe, só no sapatinho
Jamais irei dar mi-, eu sempre penso assim:
""Quem não pode errar sou eu, que se foda o Zé Povinho""
Na humildade posso até conseguir
Aviso em mente, Oxalá me guia aqui permanentemente
Zé Povinho tem um olho ardente, às vezes complicando a gente
Só pra te foder, liga pro DEIC
Eu vi em mais lençóis, vejo você tão de repente
Tá no Brooklin, Bronx, é, Pedrinha, ou, então, Itapevi
Não gosto desse filme, o roteiro é foda
Nem me liga, ser uma vítima do crime, genocida
Crocodilagem, traição, revolta, droga
Falsas amizades e as biatch em sua volta
Envolvimentos com outras, quiçá
Ação cinematográfica, enquadra a barca, cantou, cromada
Quando eu voltava lá pra casa, comentava:
""O crime, jão? Profissão de cão, emboscada""
Quando voltava, me dizia: ""emboscada""
Dizia que o crime é sempre uma arapuca armada
Primeirão que mete a cara
Disposição, vai em parada
Vai em duas, três, cai, responsa que para várias
Quando cai, muitos deles se apavoram, matam
Guerreiro que não é guerreiro vaza, só viaja
Não gosto desse filme, o roteiro nem me liga
Ter uma vítima do crime genocida
Ah, não!
Mãe, me dê a bênção
Eu sei que o medo não é mesmo o lugar perfeito pra guardar as horas
Sul, Sampa, Brasil, aqui sem a senhora
Pra mim, tô vivendo no escuro, não faz muito tempo que o Deda foi embora, e é foda
Quando eu me lembro da senhora, o medo é o Zé Povinho
Mudam da água pro vinho, engordam os zóios, atiram
E dão chapéu em si mesmo, o Pelé
Alguns espancam, enchem a cara, outros que matam mulher
Várias vezes vi na Sul, não faz nem um mês
O Binha chegou lá em casa, ligando: o Bagana tomou seis
Isso eu citei, Maurinho, pagou de Exu que eu vi, jão
Se eu descolar quem o matou não tem perdão, ah, não
Senhor, me dê mais fé
Eu vou vivendo pelas ruas, no meio de um exército
Mais vale a fé aqui no Brooklin-Sul
Vou vivendo pelos cantos, desviando dos escombros
De onde eu vim, ladrão, milhões têm filho
Nasce, dez de uma vez, nove fora, vai
Justiça, atitude, meu pai
Hoje a chave, segredo, eu sei, posso viver bem mais
Só não queria que o Naldinho fosse nessas
Conheceu cola, brisou lá no pó, parou na pedra
Foi tipo essas, não sei se fecha, atitude apressa
Foi encontrado em São Luís alvejado, mechas
Eu percebi, depois que atira, toma vários jaz
A morte do Eduardo fez do Louco um mal rapaz
[Refrão + Interlúdio: DJ Cia e reportagem]
O pobre réu
(O processo aponta)
Agora é fel
(Que o Sabotage estava)
Homens animais
(Encontrando a redenção da vida dele através da arte)
No currículo, dois discos lançados
Um deles, a trilha sonora do filme O Invasor, de Beto Brandt, premiada nos festivais de Brasília...

[Ponte: Sabotage e DJ Cia]
Boatos são boatos, quem vive é guerreiro
Favela do Canão, o herdeiro é o primeiro
Boatos são boatos, quem vive é guerreiro
Favela do Canão, o herdeiro é o primeiro
Boatos são boatos, quem vive é guerreiro
Favela do Canão, o herdeiro é o primeiro
Boatos são boatos, quem vive é guerreiro
Favela do Canão, só vivo o bom herdeiro

[Verso 2: Sabotage]
Ah, não
Senhor, me dê mais fé
Eu vou vivendo pelas ruas, no meio de um exército
Mais vale a paz na Sul
Eu vou vivendo pelos cantos, desviando dos escombros
De onde eu vim, eu sei, milhões têm filho
Nasce, dez de uma vez, nove fora, vai
Justiça, atitude, pai
Sei, é a chave, é o segredo, eu vou viver bem mais
Paz, paz, paz, paz, paz, paz...
[Refrão: DJ Cia]
O pobre réu
Agora é fel
Homens animais
O pobre réu
Agora é fel
Homens animais! (Homens animais)
O pobre réu
Agora é fel
Homens animais (Homens animais)
O pobre réu
Agora é fel
Homens animais (Homens animais, animais)
O pobre réu
Agora é fel
Homens animais (Homens animais)",67399,pt,pt,pt
O Jardim,rap,Mind da Gap,2016,1540,"{""Rey (PRT)""}","[Presto]
Vem visitar este canteiro encantado chamado Portugal
Que apesar de pequeno, tem cá de tudo
Tem auto-estima em falta e fervor nacionalista:
Uma das contradições compiladas nesta lista
Este país não é pra velhos, nem novos
Há quem diga que é pra corruptos e preguiçosos
Com uma economia paralela ao mais alto nível
Recebemos bem, pagar pode ser impossível
Mas temos praia e sol, jogadores de futebol,
Temos Fátima e fado, temos palavras como o ""lol""
Temos dívidas, mas temos submarinos no paiol,
Temos coração mole, mordemos sempre o anzol
Das figuras na TV, shows de realidade
Cus, mamas e cabeças falantes de qualidade
Já não devíamos ter algum juízo com esta idade?
Até quando seremos meninos sem maturidade?

[Hook]
É o jardim à beira-mar plantado!
Ainda vivemos no passado!
É o jardim à beira-mar plantado!
Ainda vivemos no passado!
[Rey]
Portugal tá tolo!
Só quer é tinto e bombo
Quando a equipa falha o golo
É bronco, parte o tasco todo
Povinho é mesquinho
Invejoso do vizinho
Arranca pão do filho
Pa comprar um carro novo
Assassinos ao volante
Bebedeira tá no sangue
Uma veia de azeiteiro
Em cada habitante! Vem
Família emigrante
Dá rambóia da grande
É o patrão lá na aldeia
Porque é trolha na France!
Desde o tempo antigo
Num navio busque terra nova,
A nossa frota troca
Sardinha por ganza e coca
No Continente e Ilhas
Tudo mil maravilhas
Esbanja tudo em borga
Quando a Troika estiver a milhas
Nesta rua, a revolta é uma festa
Compra tudo no estrangeiro
O que é Portuga não presta
Já dizia o Primeiro que queria o povo mais pobre,
Por nós está tudo bem enquanto houver Super Bock
[Hook]
É o jardim à beira-mar plantado!
Ainda vivemos no passado!
É o jardim à beira-mar plantado!
Ainda vivemos no passado!
É o jardim!
Onde a vida vai assim-assim...
É o jardim!
Onde a vida vai assim-assim...
É o jardim!
Onde a vida vai assim-assim...
É o jardim!
Onde a vida vai assim-assim...
É o jardim à beira-mar plantado!

[Ace]
Nós os jardineiros, pouco preocupados
Em defender a sério o seu estado
De modo deliberado, tratado mal
Está tudo roubado, já
Resta pouco do que foi o Lusitano passado, mano!
Só vejo cactos, faltam flores nos canteiros
Os pátios são feitos para manter o staus quo nos pratos certos
Cai sempre! É o capital à frente, os financeiros interesses
Que se lixe a gente, que se lixe o povo, que se lixem esses!
Esses proxenetas finos, armados até aos dentes
Com esquemas e alíneas, roubam tanto, tu nem entendes
Para postar no bar, com fusca ou rusga no lar
Sem tusta pra tares calado a deixares o semeado desabrochar
Aqui abunda o adubo e mais nada pode abundar
Já tresanda de há tanto tempo tarem pra nós a cagar
Imagino um futuro como um deserto no quintal
Com um sinal, a dizer ""Aqui existiu Portugal""!
Ah!
[Hook]
É o jardim à beira-mar plantado!
Ainda vivemos no passado!
É o jardim à beira-mar plantado!
Ainda vivemos no passado!
É o jardim!
Onde a vida vai assim-assim...
É o jardim!
Onde a vida vai assim-assim...
É o jardim!
Onde a vida vai assim-assim...
É o jardim!
Onde a vida vai assim-assim...""",134637,pt,pt,pt
Vício,rap,Rashid,2016,1494,"{""Tássia Reis""}","[Produção: Rashid]

[Verso 1: Rashid]
Ela é tipo cafeína pura
Uma mistura de rotina com um pouco de adrenalina e aventura
Que me prende feito a ditadura
Sua doçura me ilumina, seu lado que desatina tem censura
Menina pequena que dá tontura se deseja
Grande mulher que me torna um muleque que gagueja
Ga-ga-garante a minha perdição com suas intenções
Perante a minha intenção com suas perdições
Ela é uma droga pesada que te arranca de casa
E ao mesmo é o motivo de voltar pra casa
Ela é lunática e perfeita, essa é pra casar
Daquelas que mata o noivo no altar se atrasar
Te arremessa na cama e te põe no divã
É o veneno mortal no seu café da manhã
É o amor matinal e a roubada de brisa
Até sua foto 3x4 é arte, Mona Lisa
Mano avisa lá que hoje eu não vou jogar
Porque ela acaba de ligar, dizendo que tá
Muito louca pra que eu fique muito louco também
Esperando ela voltar pra me fazer de refém
Isso parece crime, mas eu não quero abrir ocorrência
Senão eu sofro de abstinência
Ela combina carinho e dependência com poesia e inocência
Essa mina vicia
[Refrão: Tássia Reis]
Tira minha paz e o fôlego
Só que faz isso parecer muito bom
Muito bom
Tira minha paz e o fôlego
Só que faz isso parecer muito bom
Muito bom

[Verso 2: Rashid]
Ela é tipo nicotina pra quem fuma
Uma casa na colina e vista pro mar
Uma estrada com neblina e luz alguma
Filma, manda nisso tudo feito a Dilma
Numa escala de perigo 0 a 10, ela é 11
Sua aurea é cor de ouro, seus olhos são cor de bronze
Seu sorriso carrega uma luz divina
Mas sua TPM é a bomba de Hiroshima
É a dor de cabeça e a própria aspirina
É o doce do licor num gole de gasolina
É a comédia que te faz chorar de rir
E o filme de terror que te deixa sem dormir
Ela é trama no drama, drama na trama
É a chama no salto, é o álcool na chama
Ela é chave de cadeia, meu chegado
Mas por essa vale a pena ver o sol nascer quadrado, oh
Crime perfeito, mata minha saudade
Não deixa nenhuma pista, fuga em velocidade
Sei que ela é de verdade, mas parece mentira
E se passar da dose certa, com certeza você pira
Inspira, expira
Te traz pra realidade e te tira
Sem dúvida, o olhar dela conspira e alicia covardia
Essa mina vicia
[Refrão: Tássia Reis]
Tira minha paz e o fôlego
Só que faz isso parecer muito bom
Muito bom
Tira minha paz e o fôlego
Só que faz isso parecer muito bom
Muito bom",357565,pt,pt,pt
Canão Foi Tão Bom,rap,Sabotage,2016,12614,"{""Negra Li"",""Lakers e Pá"",""Daniel Ganjaman"",""DBS Gordão Chefe"",Instituto}","[Verso 1: Sabotage]
Canão foi tão bom, poder falar pro Dom
Que aprendi com o Jão como obter mais alegria
Cara, sempre informação, sangue puro e bom
Pras drogas, basta um simples ""não"", o dom da opinião
A vida é a sua cara, eu me dou bem no som
Na raça, um spectrum, quem sai do rojão
É, tio, sem drama, face a face com o subúrbio
O mandarim, Sabote, o Maurinho, o núcleo
Registra e mete a cara, jamais a ideologia falha, ganha
Há quem produz um som de jão pros tios, né, Ganja?
Falar podre do bairro onde eu nasci, que agradei, pá
A mesma viatura pra enquadrar, lembrar das minas
Mulher, vocês são lindas; nós, periferia
A criançada agita, pula amarelinha
Aguila gira, ciranda-cirandinha é muita treta
Talvez, melhor que um menos treta

[Refrão: Sabotage e Negra Li]
Brooklin, o que será de ti? Regar a paz, eu vim
Jesus já foi assim, brigas trazem intrigas, ai de mim
Senão, tolinho, Zé Povinho quer meu fim
Se esperar, apodrece
Se decompõe, se a gente faz, corre atrás
Pede a paz, eles esquecem
Sempre assim, crocodilo hoje só rasteja em solo fértil
[Verso 2: Sabotage]
Crime, ouro, dólar, bola fora, esquece
Os vermes eleitos querem; seus votos, preferem
Paralisia infantil no morro, cresce
Ele observa o que lhe impede o confere
A mãe, o pivete, sujeito mais que pé-de-breque
Se eu tô com frio, fome, fúria, trombo, click-clack
Sei que eles doam, mas não pros morros, pra UNICEF
Pobres esquecem, a mãe maior nos aparece e pede
O fim maior está tão breve, filho, então, que reze
Anda ló-, vejo na maló-, ó, só, ainda mais pobre do que eu
Ai, que dó
Na parte de cima, Morro da Macumba, Catarina
Sem estudo, liga
Criança, coroinha
O medo, vejo, se aproxima
Às vezes, não tem nem pista, veja só que fita
Ele desceu da lotação, sofreu chacina
No bolso, uma anistia de botucão, beck do bom
Um beck muito louco e a maldita, a heroína
A tal da bomba da Hiroshima
Aqui se faz o fim pra periferia
Melhor jogar pra cima que tomar
Tio, vou falar, delito óbvio
Sangue, suor, amor e ódio, roubada
Se não ter fé, tio, se tranca em casa
E não saia, ligue a TV, talvez você vai ver
Pode crer, me ver num outdoor
Querem me pegar pra ló, vê se po-
-De, o menor problema saiba que é maló
Dou valor pros for-
-Te-r dó de quem vem se arriscar na vida bandida
O custo de vida dá laço sem nó
Lembra a vó, ó, dá mó dó
Criança na periferia vive sem estudo e só
À mercê da mor-
-two, three, Sabo--
Do mandarim de vol-
-Ta pra rima, voz bem lá em cima, essa é a sina
Destino indica a correria de um homem
Alternativa, pra criança aprender, basta quem ensina
Essa é a verdade: criança aprende cedo a ter caráter
A distinguir sua classe, estude Marx
Seja um mártir, às vezes um Luther King, um Sabotage
[Refrão: Sabotage e Negra Li]
Brooklin, o que será de ti? Regar a paz, eu vim
Jesus já foi assim, brigas trazem intrigas, ai de mim
Senão, tolinho, Zé Povinho quer meu fim
Se esperar, apodrece
Se decompõe, se a gente faz, corre atrás
Pede a paz, eles esquecem
Sempre assim, crocodilo hoje só rasteja em solo fértil

[Verso 3: DBS Gordão Chefe]
Sabota eterno, bandido do céu, Gordão mais zica
Traga os troféus, neguinho, os monstros estão na pista
Os moleques entendem que é nóis
Moleques entendem bem mais que os inimigos
É nóis que tá, família
História, enfim, prossegue
O crime, também, lá do Quintino
Ou Canão, meu tru--
Vem de lá, esperança em cada campinho
Bem menos por aqui, se o crime arrasta, é o fim
A cada história um recomeço, né, negrim?
Pra quem sente a dor ruim, só Deus
Negro Útil nos deixou, cuida dele, Sabó
Fico confuso, não é bom, pelo amor, esquece!
Mas o do nosso entende, mais novinho, criou nele
Que sobra só lembrança de um sonho, enfrenta
Que se foda quem impede, neguinho, eu sei
Se é Sabote, aperte o play
Eterno, viva aos melhores:
Marvin Gaye, Bob Marley
Miles Davis, 2Pac
Brooklin-Sul, é nóis, Sabotage
[Refrão: Sabotage e Negra Li]
Brooklin, o que será de ti? Regar a paz, eu vim
Jesus já foi assim, brigas trazem intrigas, ai de mim
Senão, tolinho, Zé Povinho quer meu fim
Se esperar, apodrece
Se decompõe, se a gente faz, corre atrás
Pede a paz, eles esquecem
Sempre assim, crocodilo hoje só rasteja em solo fértil

[Verse 4: Lakers e Pá]
(Coragem fez de mim) Um grande lutador
Mesmo sendo um sofredor, acredito no amor
Amor de um homem que andou pregando a paz
Jejuou no deserto, falou ""não"" pro Satanás
Aquele ali, sim, teve determinação
Não fraquejou com os irmãos
Você sabe, tem vários por aí que são covardes
Usam da maldade, faltam com a verdade
Final dos tempos está se aproximando
Falta fé, cresce o ódio, assim vive o ser humano
As crianças já não brincam mais de bola
Não vão mais pra escola
Na rua, bebe pinga e cheira cocaína
(A vida) É o que a vida nos ensina
Tem que saber chegar e sair
Veja bem: Brooklin! (Aham) Respeito é pra quem tem
Brooklin! (Aham) Respeito é pra quem tem",380610,pt,pt,pt
Mosquito Remix,rap,Sabotage,2016,1797,{},"[Verso 1: Sabotage]
Sul, meu lar
Vejo e lembro do Mosquito, um parceiro sempre ativo
Que por lá chegou, vi, representou
Provou pra sul que é aquilo
Catou papel pra viver, na moral, foi difícil
Depois que o homem inventou o revólver
Todos corremos perigo
Onde o preto é bandido
O playboy queima índio e esbanja o prazer
Periferia é motivo, sem trabalho ou estudo, botar pra foder
Justiça felina tentou me forjar
No Canão, no Bronx, não posso moscar
Catador eficaz, vacilou, sobe o gás
Estar ligeiro é melhor que moscar
Treta! A lei é como iceberg:
Tem dinheiro, eles querem
Só ao governo obedece
Pra julgar, torturar, Lúcifer é a serpente
Ha, ha! Refina, pesa, exporta, vende
Juiz, promotor, se matou, tá doente
Se explica, se irrita, não fica e nada os impede
[Refrão]
Das Espraiadas, vim, me criei, tô lá
Pirituba, Parque, então é pra já
Negro fruto, sim, de Madagascar
Agressivo, vim pra sumariar
E a minha missão só aqui poderá provar
Quarenta ladrões, sou Ali Babá
Se liguei, me joguei, vim cobrar
Na minha vida, favela é meu lar

[Ponte 1]
Bem feito, o rapper quero ouvir, passa mal
Defendo meus irmãos, assim, com moral
Pretendo ver você aqui
Justiça é feita, mas precisa de ti pra conseguir

[Verso 2: Sabotage]
Mundo cão, premonição, a vida desse irmão
Como sempre, sempre em rebelião
Maltrato, deixo, então, lição
A vida, o ABC, crime em vão, não tão
Jogou, ganhou, o aposento é bom
A ganância da gente, amanhã ambição
Conclusão, vida em regressão
Buarque fez castelo ao dom
Fez jus à questão, cantou ""Construção""
Veja só, meu irmão, som de ladrão
Mil e um, sem maldade, é ter proceder
Se criar, pra quê? É melhor temer
Tio, eu caminho em paz aonde quer que eu vá
Sou louco mais do que consciente
Minha mãe? Jaz
Onde quer que eu vá, pode crer, rapaz
Tenho ela em mente
DJ, scratch, escreve o rap
Nos diverte, vai pra frente
De repente, um disco pula
O beat, mula, a culpa é sua
[Ponte 2]
Diz! É assim
Xis-zim, Broo-klin
Sabo-ta-ge, Maurinho

[Ponte 1 x2]
Bem feito, o rapper quero ouvir, passa mal
Defendo meus irmãos, assim, com moral
Pretendo ver você aqui
Justiça é feita, mas precisa de ti pra conseguir",380641,pt,pt,pt
Superaçao,rap,DialetoRap,2016,35,{},"Nome : Superaçao
Compositor : DialetoRap
Produçao : k-music

So you a gangsta, that don't impress me none
You say you a gangsta, ain't seen a thing you done
I do it all on myself, I? ain't getting help
From no one, from no one ...

Entao a noite esfriou & madrugada chegou
Para pensar na vida & no que errou
Sempre estudando cada erro vivido
Mas hoje estou no rap por compromisso
Eu nao escolhi o rap , ele que me escolheu
Barreiras da vida & uma Pessoa que me acolheu
Eu sei que é o rap ele que me persegue
Sempre tem um que fala "" vai la voce consegue ""
Levantei a cabeça & fui seguindo meu trilho
Voce pode nao gostar , mas oque eu faço é hino
É rimas brasileira que sai do coraçao
É cada momento que eu vivi de superaçao
Nao posso contar & nao ter a expressao
Mas eu sei quem esta comigo nesse mundao
Se eu não puder me destacar pelo talento
Mas pelo esforço e tambem  o sofrimento
So you a gangsta, that don't impress me none
You say you a gangsta, ain't seen a thing you done
I do it all on myself, I? ain't getting help
From no one, from no one ...

O sofrimento é passageiro Desistir é para sempre
Se alguam coisa de balar , nao fica triste levante
Seja persistente diariamente
O mundo é cruel com os que nao bate de frente
Acredite, você tem forças para chegar onde quiser
So voce Basta querer & ter força foco & fé
Olha ate aonde cheguei , mais o sucesso nao importa
Acreditei no meu talento que cada dia abre as portas
Show ainda nao faço , show ainda nao posso fazer
Mas se voce for meu fiel , concerteza o show vai aconteçer
Hoje é so diversao , estudo cada erro que vivi
Antigamente me criticavam, superei & hoje consegui
As derrotas não sejam motivo para fraquejar
Lute hoje e sempre, pois voce vai alcançar
Eu escolhi o rap , pra expressar a emoçao
Expressar o sentimento de minha superaçao

So you a gangsta, that don't impress me none
You say you a gangsta, ain't seen a thing you done
I do it all on myself, I? ain't getting help
From no one, from no one ...",434486,pt,pt,pt
No Meu País,pop,Zlia Duncan,2016,28,"{""Zélia Duncan"",""Xande de Pilares""}","No meu país um dia desses tem que chover
Chuva de paz e amor, um dia eu vou ver
O meu país tá precisando se resolver
Se vai olhar pro futuro ou envelhecer

No meu país um dia desses tem que chover
Chuva de paz e amor, tudo pra valer
O meu país tá precisando se resolver
Se vai olhar pro futuro ou envelhecer

Se vai cuidar da criançada
Ou vai mandar prender
Se vai ser bruto
Ou mandar flores pra surpreender
Se vai olhar naquele espelho e se reconhecer
Ladeira acima sem ter medo, lindo de morrer

Indo à luta pra vencer
Rindo, lindo de morrer
Hora de querer, hora de acertar
Hora de ser forte pra sobreviver
Igualdade pra sonhar
Quem não quer melhor viver
Hora de querer, hora de acertar
Hora de ser forte pra sobreviver

Quem não quer melhor viver
O povo tá querendo ver
Hora de querer, hora de acertar
Hora de ser forte pra sobreviver

Hora de querer, hora de acertar
Hora de ser forte pra sobreviver",454854,pt,pt,pt
